rank,channel_info,influence_score,posts,followers,avg_likes,new_post_avg_like,total_likes,country,eng_rate
142,mariliamendoncacantora,73,1400,41800000,1000000,818600,1500000000,Brazil,0.019799999999999998
143,norafatehi,83,1700,41600000,1400000,727500,2300000000,Anguilla,0.0176
144,theweeknd,83,670,41500000,1100000,1600000,767000000,Not Listed,0.0397
145,dior,85,9700,41500000,88800,63600,863000000,Not Listed,0.0016
146,ranveersingh,85,1800,40800000,1000000,299300,1800000000,Switzerland,0.0076
147,marinaruybarbosa,81,2100,40700000,586400,0,1200000000,Brazil,1e-4
148,jenniferaniston,85,90,40700000,4600000,731000,452000000,Not Listed,0.018799999999999997
149,addisonraee,85,300,40100000,3100000,994400,957900000,Not Listed,0.024900000000000002
150,andresiniesta8,85,2000,40000000,250800,161700,500500000,Spain,0.0040999999999999995
151,princessyahrini,81,4500,40000000,118300,87400,529900000,Indonesia,0.0022
152,liverpoolfc,75,10000,39900000,346700,162900,3500000000,United Kingdom,0.0042
153,teddysphotos,80,2300,39900000,715500,181100,1700000000,United States,0.0046
154,worldstar,78,11600,39200000,157400,84400,1800000000,United States,0.0023
155,natashawilona12,84,1200,39200000,486500,227700,563900000,Not Listed,0.0059
156,mahi7781,58,100,39100000,4099999.9999999995,0,439400000,Not Listed,0.0017000000000000001
157,georginagio,74,730,39100000,2200000,3300000,1600000000,Not Listed,0.08560000000000001
158,cznburak,80,1800,39000000,815800,383300,1400000000,Not Listed,0.0101
159,chrissyteigen,79,5100,38900000,623100,162100,3200000000,United States,0.0043
160,ruben_onsu,75,13400,38800000,139300,49100,1900000000,Indonesia,0.0013
161,wizkhalifa,80,500,38700000,398700,115700,199800000,United States,0.0031
162,hm,83,7300,38500000,88400,22400,644100000,Sweden,6e-4
163,anushkasen0408,85,5300,38300000,695400,658300,3700000000,Not Listed,0.0175
164,prattprattpratt,84,730,38300000,813500,363800,594700000,Not Listed,0.01
165,marvelstudios,83,2700,38100000,594200,555900,1600000000,Not Listed,0.0158
166,wesleysafadao,80,8900,37400000,256100.00000000003,0,2300000000,Not Listed,2e-4
167,parineetichopra,84,1300,37400000,505700,246900,672100000,Not Listed,0.0068000000000000005
168,rkive,83,110,37000000,10900000,0,1200000000,Not Listed,NA
169,laudyacynthiabella,76,380,36900000,172800,43400,66700000,Indonesia,0.0012
170,antogriezmann,83,870,36500000,1100000,203600,955400000,France,0.005699999999999999
171,gisel_la,85,9900,36500000,150500,33400,1500000000,Not Listed,0.001
172,eminem,84,660,36400000,1100000,962700,730100000,United States,0.0269
173,mercedesbenz,77,10000,36000000,197900,64599.99999999999,2000000000,British Virgin Islands,0.0018
174,colesprouse,81,1200,35900000,2200000,834500,2600000000,Not Listed,0.023399999999999997
175,nattinatasha,47,30,35900000,518100,285900,18700000,Czech Republic,0.008
176,shahidkapoor,82,1100,35600000,1300000,780000,1500000000,Not Listed,0.0254
177,tigerjackieshroff,83,2100,35600000,1100000,422900,2200000000,India,0.012
178,kimberly.loaiza,78,590,35500000,2600000,1800000,1600000000,Mexico,0.052300000000000006
179,barackobama,81,660,35400000,1100000,411500,739500000,United States,0.011899999999999999
180,sachintendulkar,76,1000,35300000,800400,664500,810000000,Not Listed,0.0203
181,simonemendes,72,4400,35000000,420000,222900,1900000000,Brazil,0.006500000000000001
182,ivetesangalo,84,7600,34800000,226400,121100,1700000000,Brazil,0.0036
183,lunamaya,83,4100,34800000,145400,58600,589600000,Not Listed,0.0017000000000000001
184,toni.kr8s,83,940,34700000,597200,533500,561300000,Not Listed,0.0168
185,dannapaola,68,1900,34700000,1500000,1200000,2800000000,Mexico,0.0349
186,paollaoliveirareal,84,4600,34700000,367800,192300,1700000000,Not Listed,0.005699999999999999
187,blakelively,80,110,34600000,3100000,0,350900000,United States,2e-4
188,adidasoriginals,83,150,34200000,136200,66800,21200000,Not Listed,0.002
189,disney,77,7300,34200000,185200,132000,1400000000,United States,0.0044
190,shaymitchell,83,6300,34100000,732400,247500,4600000000,United States,0.0073
191,bmw,79,9300,33700000,231300,76500,2200000000,Germany,0.0023
192,danbilzerian,84,1400,33600000,2000000,1200000,2800000000,Canada,0.0358
